basename	organoid_line	tcell_line	exp_nr	well	date	organoid_distance_channel	dead_dye_channel	contact_threshold	stat_folder
2021-06-10_WT1_n1(1)_10T_dt	10T	TEG_WT1	1	well1	10/06/2021	5	3	3.6	/Users/samdeblank/surfdrive/Shared/T cell paper/Stats reports/t cells/2021-06-10_WT1_n1/2021-06-10_WT1_n1(1)_10T_dt_Statistics
2021-06-10_WT1_n1(2)_36T_dt	36T	TEG_WT1	1	well1	10/06/2021	5	3	3.6	/Users/samdeblank/surfdrive/Shared/T cell paper/Stats reports/t cells/2021-06-10_WT1_n1/2021-06-10_WT1_n1(2)_36T_dt_Statistics
2021-06-10_WT1_n1(3)_36T_dt	36T	TEG_WT1	1	well2	10/06/2021	5	3	3.6	/Users/samdeblank/surfdrive/Shared/T cell paper/Stats reports/t cells/2021-06-10_WT1_n1/2021-06-10_WT1_n1(3)_36T_dt_Statistics
									
									
									
									
									
									
									
									
									
									
									